SAMPLE	PC1	PC2
HG00156.alt_bwamem_GRCh38DH.20150718.GBR.low_coverage.cram.by1000.	-0.16599871201069996	0.13261909148784196
HG00380.alt_bwamem_GRCh38DH.20150718.FIN.low_coverage.cram.by1000.	0.2594811198372345	0.5183738286528037
HG01072.alt_bwamem_GRCh38DH.20150718.PUR.low_coverage.cram.by1000.	-0.2589715613799689	-0.2124721765012004
HG01174.alt_bwamem_GRCh38DH.20150718.PUR.low_coverage.cram.by1000.	-0.17125369164582552	-0.10976427647146386
HG01770.alt_bwamem_GRCh38DH.20150718.IBS.low_coverage.cram.by1000.	-0.045096705400812905	0.1738308641415486
HG02236.alt_bwamem_GRCh38DH.20150718.IBS.low_coverage.cram.by1000.	0.44112401392726197	-0.37747080965259305
HG02308.alt_bwamem_GRCh38DH.20150718.ACB.low_coverage.cram.by1000.	0.49255223177571006	0.19548288374636477
HG02783.alt_bwamem_GRCh38DH.20150718.PJL.low_coverage.cram.by1000.	-0.1261770299165266	0.021201254879307938
HG03069.alt_bwamem_GRCh38DH.20150718.MSL.low_coverage.cram.by1000.	0.15049106070456603	-0.05573874004039987
HG03650.alt_bwamem_GRCh38DH.20150718.PJL.low_coverage.cram.by1000.	-0.11790953724338304	-0.0015406318993446688
HG04302.alt_bwamem_GRCh38DH.20150718.GBR.low_coverage.cram.by1000.	0.06463915848836523	0.0675183555714133
NA12890.alt_bwamem_GRCh38DH.20150718.CEU.low_coverage.cram.by1000.	-0.21314229657868752	0.020224827794715197
NA19210.alt_bwamem_GRCh38DH.20150718.YRI.low_coverage.cram.by1000.	-0.19467907015144265	9.762780033215853E-4
NA19729.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	-0.0663439972225725	0.03094326245129146
NA19756.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	-0.05553651456033707	-0.08091447654853003
NA19795.alt_bwamem_GRCh38DH.20150718.MXL.low_coverage.cram.by1000.	0.21624713072243254	-0.5760778031605077
NA20762.alt_bwamem_GRCh38DH.20150718.TSI.low_coverage.cram.by1000.	0.19772937550330333	-0.24237304566167325
NA20903.alt_bwamem_GRCh38DH.20150718.GIH.low_coverage.cram.by1000.	0.36900386334743046	0.19735962930954137
