MARKER	Loading1	Loading2
chr1:4953001-4954000	-0.012361607268861513	0.005989691737175478
chr1:4954001-4955000	-0.018711801136516295	0.006404198796020233
chr1:4955001-4956000	0.0041238202116238515	-0.0028269157000651566
chr1:4956001-4957000	0.004006222602033095	-0.004599311056775881
chr1:4957001-4958000	0.0031330541152788864	-0.0019340103986766424
chr1:4959001-4960000	0.0061973476094786435	0.00467535286170138
chr1:4963001-4964000	0.007181543982157035	0.004954287582534019
chr1:4964001-4965000	0.0023582781469977106	-0.009667759256917673
chr1:4965001-4966000	0.0031822056829295636	-0.005571552501306714
chr1:4966001-4967000	0.009108855709417251	-0.016757946112041042
chr1:5001001-5002000	8.230336630234202E-4	-0.0023606677772434227
chr1:5005001-5006000	0.00560494603888784	-0.008143467028743839
chr1:5007001-5008000	0.002940222967113655	-0.003163011082701103
chr1:5009001-5010000	0.008765557537007338	-0.012272258680711447
chr1:5010001-5011000	0.009314003514017245	-0.008047144164244126
chr1:5017001-5018000	0.004485043651951601	-0.010439480848732653
chr1:5020001-5021000	-0.002280450960674907	0.006810981778020251
chr1:5025001-5026000	-0.014636819263245672	0.002667193990373586
chr1:5026001-5027000	-0.01390357695826401	0.008353075613219409
chr1:5027001-5028000	0.0031149299586449115	-0.012748915518957222
chr1:5028001-5029000	-0.0057760091816485065	-0.0010023195926428894
chr1:5031001-5032000	-0.006137846073550353	0.00842212347130854
chr1:5032001-5033000	0.002735875077932633	0.004101942057759891
chr1:5035001-5036000	0.002703688359432006	0.01179278536786864
chr1:5037001-5038000	0.002314328169428671	-0.0019191944907479266
chr1:5039001-5040000	-3.515448626353977E-4	5.083481825526127E-4
chr1:5041001-5042000	0.0059388782812840645	0.006480993498922788
chr1:5121001-5122000	0.0017775892190649658	-0.0018832649700466421
chr1:5122001-5123000	5.036267770159596E-4	0.0023086620331658177
chr1:5123001-5124000	-0.003913783715099195	0.002121601344946877
chr1:5125001-5126000	-0.003981757010483047	-0.005005429869936667
chr1:5127001-5128000	0.003983578923433975	-0.010830221433581111
chr1:5130001-5131000	0.0027961064432029483	0.002693754133305078
chr1:5132001-5133000	-0.011383642635009713	0.006273075587284517
chr1:5133001-5134000	0.005349182497848219	0.0010546123589993985
chr1:5135001-5136000	0.005384813823349529	-0.00438943904136958
chr1:5138001-5139000	0.003309116219997689	-0.0036713202017058257
chr1:5142001-5143000	0.00460307383508361	-0.009997084327291864
chr1:5143001-5144000	0.00576625231162278	-2.4758614885918783E-4
chr1:5146001-5147000	0.006815460818849199	0.0013497317983051699
chr1:5147001-5148000	0.005452598805417989	-0.004890401507704226
chr1:5148001-5149000	-0.003562426833881213	-0.0013877402666631132
chr1:5149001-5150000	-0.0023164969955911455	-0.004032433098837449
chr1:5150001-5151000	0.002481857594078013	-0.0018112013822894012
chr1:5151001-5152000	0.004333845598744876	-0.011775013084946427
chr1:5156001-5157000	0.005947408484509572	0.0028615148869302214
chr1:5161001-5162000	0.0010078811867021656	-0.00401721653548878
chr1:5164001-5165000	0.0075166411775235	-0.006776921765156641
chr1:5165001-5166000	0.004955703043268385	-0.010299302754766133
chr1:5169001-5170000	0.002401543040922438	-0.008988679157841547
chr1:5170001-5171000	0.006153992334595327	-0.0049035145972783105
chr1:5171001-5172000	0.007524792710433212	-0.00659524381429372
chr1:5172001-5173000	0.0023556962087417465	-0.0069394205936732485
chr1:5173001-5174000	0.004066690259019138	-0.009856728820401046
chr1:5174001-5175000	-0.0017849232246194122	0.002780045440581182
chr1:5176001-5177000	-9.48141740020589E-4	-0.006636648056102358
chr1:5177001-5178000	0.004247086824477587	-0.0026802755686111354
chr1:5180001-5181000	-0.00861879654598952	0.003798902688932384
chr1:5186001-5187000	0.0025294857003738125	-0.005349559886263917
chr1:5187001-5188000	0.0042992723600930646	-0.004494189989113867
chr1:5188001-5189000	0.001982495389980162	-0.002538366276388404
chr1:5191001-5192000	-0.003498887548506791	-0.006148196431420726
chr1:5196001-5197000	0.008505759723626568	-0.004553764741481592
chr1:5199001-5200000	0.0063130749617858915	-0.009615969885324841
chr1:5200001-5201000	0.006167616857507309	-0.006828040119233087
chr1:5201001-5202000	-8.284288678512935E-4	0.007763551196670431
chr1:5202001-5203000	0.004672138900479641	-7.536875227197161E-4
chr1:5204001-5205000	-3.3270806743781377E-4	-0.005314903801293911
chr1:5206001-5207000	-4.025340621830305E-4	-0.0034581482281353807
chr1:5207001-5208000	0.001478159710980427	-0.006323672025657786
chr1:5209001-5210000	-0.01695067721857054	0.007401812248831472
chr1:5211001-5212000	-0.00946780552394827	4.946523764177252E-4
chr1:5213001-5214000	-0.018169286203357067	-0.011618045214458868
chr1:5586001-5587000	0.008018634235346888	-0.008646665960540156
chr1:5594001-5595000	0.009450887640434166	-0.004466925471063476
chr1:5597001-5598000	0.008315147585178994	0.001999286240799977
chr1:5598001-5599000	0.008161167204735927	0.00327026534296491
chr1:5613001-5614000	0.0036838505919247694	-0.006247750948728031
chr1:5615001-5616000	0.008684926473299855	-0.001736847918803361
chr1:5616001-5617000	0.007364426061948988	0.0064483241836495436
chr1:5617001-5618000	0.007629267312081848	0.010131290234483245
chr1:5618001-5619000	0.004943210240118375	-0.00759711487157872
chr1:5619001-5620000	0.0035734660041972814	0.0012157853845426365
chr1:5620001-5621000	0.006600638403221008	-0.004576320220237837
chr1:5622001-5623000	3.747091318458016E-5	-0.004465792210321567
chr1:5623001-5624000	0.007180909061407055	5.55518843476863E-4
chr1:5624001-5625000	-0.0022168866073018633	0.0017874080940061304
chr1:5626001-5627000	-0.005915831562724772	0.014043221031856205
chr1:5628001-5629000	0.0036009738956527355	1.2658336312912455E-5
chr1:5629001-5630000	0.0025433341832640133	0.0035379130713752314
chr1:5634001-5635000	0.010896484956943203	-0.011241191135100515
chr1:5635001-5636000	0.009515636612466915	-0.005100821056639796
chr1:5636001-5637000	0.002269521671080354	0.002206712931935959
chr1:5638001-5639000	0.007187348725939294	-0.0055157568815512965
chr1:5644001-5645000	0.010454229096366669	-0.0019014717917344073
chr1:5646001-5647000	0.010946916725374277	-0.0027617213368682936
chr1:5647001-5648000	0.009303566546129306	-0.016441492329318387
chr1:5648001-5649000	0.007795268813680349	-0.010713973206436782
chr1:5649001-5650000	0.007887385422468042	-0.004106015947911907
chr1:5650001-5651000	0.011701801965143005	-0.0010749734758574779
chr1:5651001-5652000	0.010660242058667923	-0.008777497444804872
chr1:5652001-5653000	0.006859921280877677	-9.670195526132901E-4
chr1:5659001-5660000	0.012629345648537224	0.004449141557998849
chr1:5660001-5661000	0.00932437690612371	-0.009935278772956755
chr1:5661001-5662000	0.014512196648322833	0.00620083065447896
chr1:5662001-5663000	0.009946899055654643	-0.005809850990319651
chr1:5663001-5664000	0.0100318918008208	-0.005990382906762713
chr1:6634001-6635000	0.00943810371545249	0.01070203777646013
chr1:6635001-6636000	0.003725985693905337	0.002330702266238234
chr1:7179001-7180000	-0.001825798171539828	-0.010654641370377178
chr1:7181001-7182000	-0.007632364106056356	-0.0072160634411665035
chr1:7185001-7186000	-0.00249616795358646	-0.011225420901996736
chr1:7186001-7187000	0.002802093902491703	0.011859015032674442
chr1:7191001-7192000	-0.0012658046815548591	-0.002763828606634149
chr1:7192001-7193000	0.010818853973061747	-0.005494740723248252
chr1:7194001-7195000	-0.00509996506969056	0.0059253514946313165
chr1:7199001-7200000	0.007739558565079292	0.009022316049659052
chr1:7200001-7201000	-0.008249118333493633	0.008093280891049742
chr1:7206001-7207000	-0.007172584820095829	0.010935767685012601
chr1:7207001-7208000	0.005340835693982602	0.009952515412424721
chr1:7208001-7209000	0.004647490936099661	-0.008336890805894493
chr1:7209001-7210000	0.003916202825987546	-0.007412336534852617
chr1:7210001-7211000	-0.0034940953424390723	-0.01400694672525013
chr1:7211001-7212000	4.58641407289234E-4	-0.0038281590138138674
chr1:7212001-7213000	-0.007877355549121157	-0.0019487869211266063
chr1:7218001-7219000	-0.005094012189941226	0.0050812221850539884
chr1:7220001-7221000	0.0056611579360606136	0.006183044498637788
chr1:7222001-7223000	0.009878257420878405	-0.009110110693445524
chr1:7223001-7224000	0.0035501090513565467	-0.006584755487557214
chr1:7224001-7225000	0.0052633163676139155	-0.0023672712316959374
chr1:7229001-7230000	0.008406244604819181	0.01560814143728434
chr1:7230001-7231000	0.010426748081463775	0.017322083519727048
chr1:7232001-7233000	0.007589356061409244	0.009561882409874975
chr1:7233001-7234000	0.005781724445927649	0.006523218812739084
chr1:7236001-7237000	0.003458679495594115	-0.006041611198162643
chr1:7237001-7238000	0.005804090347966623	-0.003734331907422469
chr1:7247001-7248000	0.008246920678389566	-0.006965974841130309
chr1:7248001-7249000	0.0076946255395952705	0.006180468295549235
chr1:7249001-7250000	0.004254444954134909	0.008601213677887904
